[2021-05-21 12:17:13,198][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-21 12:17:50,235][__main__][INFO] - Pair: pair_000034 ssim=0.6378719806671143
[2021-05-21 12:17:50,267][__main__][INFO] - Pair: pair_000035 l1=0.12556001543998718
[2021-05-21 12:17:50,270][__main__][INFO] - Pair: pair_000035 l1_masked=0.16827674210071564
[2021-05-21 12:17:50,271][__main__][INFO] - Pair: pair_000035 psnr=14.071761131286621
[2021-05-21 12:17:50,274][__main__][INFO] - Pair: pair_000035 psnr_masked=12.800033569335938
[2021-05-21 12:17:50,291][__main__][INFO] - Pair: pair_000035 lpips=0.4383735656738281
[2021-05-21 12:17:50,426][__main__][INFO] - Pair: pair_000035 ssim=0.5801156759262085
[2021-05-21 12:17:50,457][__main__][INFO] - Pair: pair_000036 l1=0.21340304613113403
[2021-05-21 12:17:50,460][__main__][INFO] - Pair: pair_000036 l1_masked=0.2150178700685501
[2021-05-21 12:17:50,461][__main__][INFO] - Pair: pair_000036 psnr=11.241605758666992
[2021-05-21 12:17:50,463][__main__][INFO] - Pair: pair_000036 psnr_masked=11.208866119384766
[2021-05-21 12:17:50,477][__main__][INFO] - Pair: pair_000036 lpips=0.6952654123306274
[2021-05-21 12:17:50,611][__main__][INFO] - Pair: pair_000036 ssim=0.5143969655036926
[2021-05-21 12:17:50,646][__main__][INFO] - Pair: pair_000037 l1=0.012055259197950363
[2021-05-21 12:17:50,649][__main__][INFO] - Pair: pair_000037 l1_masked=0.16291362047195435
[2021-05-21 12:17:50,650][__main__][INFO] - Pair: pair_000037 psnr=25.289899826049805
[2021-05-21 12:17:50,653][__main__][INFO] - Pair: pair_000037 psnr_masked=13.982091903686523
[2021-05-21 12:17:50,670][__main__][INFO] - Pair: pair_000037 lpips=0.0599701851606369
[2021-05-21 12:17:50,832][__main__][INFO] - Pair: pair_000037 ssim=0.9620516300201416
[2021-05-21 12:17:50,870][__main__][INFO] - Pair: pair_000038 l1=0.19942796230316162
[2021-05-21 12:17:50,873][__main__][INFO] - Pair: pair_000038 l1_masked=0.20815175771713257
[2021-05-21 12:17:50,874][__main__][INFO] - Pair: pair_000038 psnr=10.980740547180176
[2021-05-21 12:17:50,877][__main__][INFO] - Pair: pair_000038 psnr_masked=10.794800758361816
[2021-05-21 12:17:50,895][__main__][INFO] - Pair: pair_000038 lpips=0.5946568250656128
[2021-05-21 12:17:51,043][__main__][INFO] - Pair: pair_000038 ssim=0.4846620559692383
[2021-05-21 12:17:51,077][__main__][INFO] - Pair: pair_000039 l1=0.00016956870967987925
[2021-05-21 12:17:51,080][__main__][INFO] - Pair: pair_000039 l1_masked=0.0678400993347168
[2021-05-21 12:17:51,081][__main__][INFO] - Pair: pair_000039 psnr=47.11041259765625
[2021-05-21 12:17:51,084][__main__][INFO] - Pair: pair_000039 psnr_masked=21.089008331298828
[2021-05-21 12:17:51,100][__main__][INFO] - Pair: pair_000039 lpips=0.0005354876630008221
[2021-05-21 12:17:51,255][__main__][INFO] - Pair: pair_000039 ssim=0.9997804760932922
[2021-05-21 12:17:51,292][__main__][INFO] - Pair: pair_000040 l1=0.1830778419971466
[2021-05-21 12:17:51,295][__main__][INFO] - Pair: pair_000040 l1_masked=0.20669426023960114
[2021-05-21 12:17:51,296][__main__][INFO] - Pair: pair_000040 psnr=11.243046760559082
[2021-05-21 12:17:51,299][__main__][INFO] - Pair: pair_000040 psnr_masked=10.716119766235352
[2021-05-21 12:17:51,317][__main__][INFO] - Pair: pair_000040 lpips=0.544929027557373
[2021-05-21 12:17:51,496][__main__][INFO] - Pair: pair_000040 ssim=0.5088691711425781
[2021-05-21 12:17:51,530][__main__][INFO] - Pair: pair_000041 l1=0.14970459043979645
[2021-05-21 12:17:51,532][__main__][INFO] - Pair: pair_000041 l1_masked=0.1954701840877533
[2021-05-21 12:17:51,534][__main__][INFO] - Pair: pair_000041 psnr=13.079752922058105
[2021-05-21 12:17:51,536][__main__][INFO] - Pair: pair_000041 psnr_masked=11.92129898071289
[2021-05-21 12:17:51,551][__main__][INFO] - Pair: pair_000041 lpips=0.5847890377044678
[2021-05-21 12:17:51,696][__main__][INFO] - Pair: pair_000041 ssim=0.5893511772155762
